,Code,Country,Year,Migration Type,Total Migration,Gender,Country 1,Country 1 Count,Country 2,Country 2 Count,Country 3,Country 3 Count,Country 4,Country 4 Count,Country 5,Country 5 Count,Migrants Under 15 years old,Migrants 20-29 years old,Migrants 30-39 years old,Migrants 40-49 years old,Migrants 50 years old and older
83,222,El Salvador,2017,Immigration,42323,total,Honduras,11753,Guatemala,8943,Nicaragua,7874,United States of America,5432,Mexico,1725,5627,2336,8668,9750,6909
84,320,Guatemala,1990,Emigration,173120,female,United States of America,113994,Mexico,36574,Belize,6504,Canada,4167,El Salvador,3739,,,,,
85,320,Guatemala,1990,Emigration,170503,male,United States of America,111745,Mexico,35769,Belize,6146,El Salvador,4496,Canada,4392,,,,,
86,320,Guatemala,1990,Emigration,343623,total,United States of America,225739,Mexico,72343,Belize,12650,Canada,8559,El Salvador,8235,,,,,
87,320,Guatemala,1990,Immigration,112615,female,El Salvador,104058,United States of America,2013,Mexico,1558,Nicaragua,1101,Honduras,990,24066,13620,42192,36056,17888
88,320,Guatemala,1990,Immigration,151642,male,El Salvador,132597,Mexico,3844,United States of America,3809,Honduras,3778,Nicaragua,2625,25423,10620,25303,22014,13539
89,320,Guatemala,1990,Immigration,264257,total,El Salvador,236655,United States of America,5822,Mexico,5402,Honduras,4768,Nicaragua,3726,49489,24240,67495,58070,31427
90,320,Guatemala,1995,Emigration,232137,female,United States of America,181531,Mexico,26336,Belize,7178,Canada,5386,El Salvador,3298,,,,,
91,320,Guatemala,1995,Emigration,225245,male,United States of America,176398,Mexico,23340,Belize,7172,Canada,5741,El Salvador,3926,,,,,
92,320,Guatemala,1995,Emigration,457382,total,United States of America,357929,Mexico,49676,Belize,14350,Canada,11127,El Salvador,7224,,,,,
93,320,Guatemala,1995,Immigration,66913,female,El Salvador,54107,Mexico,3466,United States of America,2334,Nicaragua,1783,Honduras,1492,14111,7730,24328,21524,10938
94,320,Guatemala,1995,Immigration,89275,male,El Salvador,70239,Mexico,4770,Honduras,3540,United States of America,3305,Nicaragua,2782,15024,6067,14709,13284,8363
95,320,Guatemala,1995,Immigration,156188,total,El Salvador,124346,Mexico,8236,United States of America,5639,Honduras,5032,Nicaragua,4565,29135,13797,39037,34808,19301
96,320,Guatemala,2000,Emigration,295290,female,United States of America,250780,Mexico,17372,Belize,7853,Canada,6734,El Salvador,2857,,,,,
97,320,Guatemala,2000,Emigration,283213,male,United States of America,242090,Mexico,11784,Belize,8205,Canada,7226,El Salvador,3355,,,,,
98,320,Guatemala,2000,Emigration,578503,total,United States of America,492870,Mexico,29156,Belize,16058,Canada,13960,El Salvador,6212,,,,,
99,320,Guatemala,2000,Immigration,21211,female,Mexico,5374,El Salvador,4156,United States of America,2656,Nicaragua,2465,Honduras,1993,4153,1825,6438,7008,4011
100,320,Guatemala,2000,Immigration,26908,male,El Salvador,7881,Mexico,5696,Honduras,3302,Nicaragua,2939,United States of America,2800,4621,1501,4095,4563,3203
101,320,Guatemala,2000,Immigration,48119,total,El Salvador,12037,Mexico,11070,United States of America,5456,Nicaragua,5404,Honduras,5295,8774,3326,10533,11571,7214
102,320,Guatemala,2005,Emigration,375187,female,United States of America,329093,Mexico,15299,Belize,8763,Canada,7168,El Salvador,3417,,,,,
103,320,Guatemala,2005,Emigration,361344,male,United States of America,314256,Mexico,14023,Belize,9259,Canada,7233,El Salvador,3950,,,,,
104,320,Guatemala,2005,Emigration,736531,total,United States of America,643349,Mexico,29322,Belize,18022,Canada,14401,El Salvador,7367,,,,,
105,320,Guatemala,2005,Immigration,26064,female,Mexico,7133,El Salvador,3877,United States of America,3393,Nicaragua,3203,Honduras,2636,4846,2123,7382,8082,4688
106,320,Guatemala,2005,Immigration,31188,male,El Salvador,10487,Mexico,6027,Honduras,3658,Nicaragua,3221,United States of America,3080,5592,1834,5149,5684,3895
107,320,Guatemala,2005,Immigration,57252,total,El Salvador,14364,Mexico,13160,United States of America,6473,Nicaragua,6424,Honduras,6294,10438,3957,12531,13766,8583
108,320,Guatemala,2010,Emigration,463389,female,United States of America,412680,Mexico,15022,Belize,9678,Canada,7838,El Salvador,3977,,,,,
109,320,Guatemala,2010,Emigration,461136,male,United States of America,404815,Mexico,17866,Belize,10317,Canada,7447,El Salvador,4544,,,,,
110,320,Guatemala,2010,Emigration,924525,total,United States of America,817495,Mexico,32888,Belize,19995,Canada,15285,El Salvador,8521,,,,,
111,320,Guatemala,2010,Immigration,30917,female,Mexico,8892,United States of America,4124,Nicaragua,3941,El Salvador,3599,Honduras,3279,5122,2016,6822,8875,6546
112,320,Guatemala,2010,Immigration,35467,male,El Salvador,13092,Mexico,6358,Honduras,4013,Nicaragua,3502,United States of America,3390,6092,1796,4919,6469,5629
113,320,Guatemala,2010,Immigration,66384,total,El Salvador,16691,Mexico,15250,United States of America,7514,Nicaragua,7443,Honduras,7292,11214,3812,11741,15344,12175
114,320,Guatemala,2015,Emigration,537444,female,United States of America,472466,Mexico,25042,Belize,11172,Canada,8765,El Salvador,4153,,,,,
115,320,Guatemala,2015,Emigration,543276,male,United States of America,471720,Mexico,28086,Belize,12059,Canada,8328,El Salvador,4732,,,,,
116,320,Guatemala,2015,Emigration,1080720,total,United States of America,944186,Mexico,53128,Belize,23231,Canada,17093,El Salvador,8885,,,,,
117,320,Guatemala,2015,Immigration,37136,female,Mexico,10330,United States of America,4799,Nicaragua,4590,El Salvador,4353,Honduras,3837,5782,2259,7974,9559,7668
118,320,Guatemala,2015,Immigration,41216,male,El Salvador,14845,Mexico,7210,Honduras,4550,Nicaragua,3971,United States of America,3844,7073,2068,5934,7183,6789
119,320,Guatemala,2015,Immigration,78352,total,El Salvador,19198,Mexico,17540,United States of America,8643,Nicaragua,8561,Honduras,8387,12855,4327,13908,16742,14457
120,320,Guatemala,2017,Emigration,555667,female,United States of America,488138,Mexico,25692,Belize,12260,Canada,9113,El Salvador,4180,,,,,
121,320,Guatemala,2017,Emigration,561688,male,United States of America,487366,Mexico,28816,Belize,13233,Canada,8658,El Salvador,4763,,,,,
122,320,Guatemala,2017,Emigration,1117355,total,United States of America,975504,Mexico,54508,Belize,25493,Canada,17771,El Salvador,8943,,,,,
123,320,Guatemala,2017,Immigration,38642,female,Mexico,10748,United States of America,4994,Nicaragua,4777,El Salvador,4530,Honduras,3992,6019,2249,8193,9793,7864
124,320,Guatemala,2017,Immigration,42886,male,El Salvador,15446,Mexico,7502,Honduras,4734,Nicaragua,4131,United States of America,3999,7341,2055,6082,7338,6950
125,320,Guatemala,2017,Immigration,81528,total,El Salvador,19976,Mexico,18250,United States of America,8993,Nicaragua,8908,Honduras,8726,13360,4304,14275,17131,14814
126,340,Honduras,1990,Emigration,66894,female,United States of America,46067,El Salvador,6905,Nicaragua,4953,Belize,1521,Costa Rica,1156,,,,,
127,340,Honduras,1990,Emigration,89659,male,United States of America,62856,El Salvador,8869,Nicaragua,5152,Guatemala,3778,Costa Rica,1452,,,,,
128,340,Honduras,1990,Emigration,156553,total,United States of America,108923,El Salvador,15774,Nicaragua,10105,Guatemala,4768,Belize,2764,,,,,
129,340,Honduras,1990,Immigration,137573,female,Nicaragua,74798,El Salvador,55397,Guatemala,1713,United States of America,1535,Mexico,409,30153,19035,39639,20958,9739
130,340,Honduras,1990,Immigration,132850,male,Nicaragua,68004,El Salvador,59413,Guatemala,1537,United States of America,1157,Mexico,386,23671,14067,33545,29095,15756
131,340,Honduras,1990,Immigration,270423,total,Nicaragua,142802,El Salvador,114810,Guatemala,3250,United States of America,2692,Mexico,795,53824,33102,73184,50053,25495
132,340,Honduras,1995,Emigration,106437,female,United States of America,85305,El Salvador,5450,Nicaragua,4607,Belize,2140,Canada,1593,,,,,
133,340,Honduras,1995,Emigration,140389,male,United States of America,113204,El Salvador,7200,Nicaragua,4866,Guatemala,3540,Belize,1960,,,,,
134,340,Honduras,1995,Emigration,246826,total,United States of America,198509,El Salvador,12650,Nicaragua,9473,Guatemala,5032,Belize,4100,,,,,
135,340,Honduras,1995,Immigration,76077,female,Nicaragua,38819,El Salvador,29173,United States of America,2140,Guatemala,1705,Mexico,486,16805,10370,21529,11557,5534
136,340,Honduras,1995,Immigration,73365,male,Nicaragua,35454,El Salvador,31519,United States of America,1737,Guatemala,1631,Mexico,494,13156,7644,18173,16026,8938
137,340,Honduras,1995,Immigration,149442,total,Nicaragua,74273,El Salvador,60692,United States of America,3877,Guatemala,3336,Mexico,980,29961,18014,39702,27583,14472
138,340,Honduras,2000,Emigration,148443,female,United States of America,125606,Nicaragua,4840,El Salvador,3994,Belize,2760,Canada,2152,,,,,
139,340,Honduras,2000,Emigration,193816,male,United States of America,164428,El Salvador,5531,Nicaragua,5177,Guatemala,3302,Belize,2676,,,,,
140,340,Honduras,2000,Emigration,342259,total,United States of America,290034,Nicaragua,10017,El Salvador,9525,Belize,5436,Guatemala,5295,,,,,
141,340,Honduras,2000,Immigration,14581,female,El Salvador,2949,Nicaragua,2841,United States of America,2744,Guatemala,1697,Mexico,562,3218,1550,3282,2288,1504
142,340,Honduras,2000,Immigration,13880,male,El Salvador,3625,Nicaragua,2927,United States of America,2317,Guatemala,1724,Mexico,602,2404,1128,2619,2999,2346
143,340,Honduras,2000,Immigration,28461,total,El Salvador,6574,Nicaragua,5768,United States of America,5061,Guatemala,3421,Mexico,1164,5622,2678,5901,5287,3850
144,340,Honduras,2005,Emigration,195866,female,United States of America,167426,Nicaragua,5189,El Salvador,4283,Belize,3219,Mexico,2968,,,,,
145,340,Honduras,2005,Emigration,253236,male,United States of America,216396,El Salvador,6079,Nicaragua,5556,Spain,5006,Mexico,3734,,,,,
146,340,Honduras,2005,Emigration,449102,total,United States of America,383822,Nicaragua,10745,El Salvador,10362,Spain,7820,Mexico,6702,,,,,
147,340,Honduras,2005,Immigration,14444,female,El Salvador,2931,Nicaragua,2817,United States of America,2719,Guatemala,1682,Mexico,557,3113,1499,3176,2214,1456
148,340,Honduras,2005,Immigration,13431,male,El Salvador,3508,Nicaragua,2832,United States of America,2227,Guatemala,1669,Mexico,583,2392,1123,2603,2963,2314
149,340,Honduras,2005,Immigration,27875,total,El Salvador,6439,Nicaragua,5649,United States of America,4946,Guatemala,3351,Mexico,1140,5505,2622,5779,5177,3770
150,340,Honduras,2010,Emigration,250021,female,United States of America,210726,Spain,8410,Nicaragua,5598,Mexico,4599,El Salvador,4571,,,,,
151,340,Honduras,2010,Emigration,337641,male,United States of America,281108,Spain,18492,El Salvador,6627,Nicaragua,5936,Mexico,5381,,,,,
152,340,Honduras,2010,Emigration,587662,total,United States of America,491834,Spain,26902,Nicaragua,11534,El Salvador,11198,Mexico,9980,,,,,
153,340,Honduras,2010,Immigration,14306,female,El Salvador,2913,Nicaragua,2793,United States of America,2683,Guatemala,1667,Mexico,553,2435,1160,2930,2423,1678
154,340,Honduras,2010,Immigration,12982,male,El Salvador,3390,Nicaragua,2737,United States of America,2168,Guatemala,1613,Mexico,563,1842,895,2338,3103,2613
155,340,Honduras,2010,Immigration,27288,total,El Salvador,6303,Nicaragua,5530,United States of America,4851,Guatemala,3280,Mexico,1116,4277,2055,5268,5526,4291
156,340,Honduras,2015,Emigration,292832,female,United States of America,244893,Spain,10959,Mexico,7652,Nicaragua,6071,El Salvador,4775,,,,,
157,340,Honduras,2015,Emigration,407242,male,United States of America,333567,Spain,30374,Mexico,7375,El Salvador,6901,Nicaragua,6368,,,,,
158,340,Honduras,2015,Emigration,700074,total,United States of America,578460,Spain,41333,Mexico,15027,Nicaragua,12439,El Salvador,11676,,,,,
159,340,Honduras,2015,Immigration,20116,female,El Salvador,4101,Nicaragua,3931,United States of America,3751,Guatemala,2347,Mexico,779,3197,1295,4395,3574,2464
160,340,Honduras,2015,Immigration,18201,male,El Salvador,4752,Nicaragua,3836,United States of America,3048,Guatemala,2260,Mexico,788,2392,993,3500,4548,3818
161,340,Honduras,2015,Immigration,38317,total,El Salvador,8853,Nicaragua,7767,United States of America,6799,Guatemala,4607,Mexico,1567,5589,2288,7895,8122,6282
162,340,Honduras,2017,Emigration,302173,female,United States of America,253016,Spain,10869,Mexico,7851,Nicaragua,6207,Belize,4880,,,,,
163,340,Honduras,2017,Emigration,420257,male,United States of America,344631,Spain,30856,Mexico,7566,El Salvador,6946,Nicaragua,6509,,,,,
164,340,Honduras,2017,Emigration,722430,total,United States of America,597647,Spain,41725,Mexico,15417,Nicaragua,12716,El Salvador,11753,,,,,
165,340,Honduras,2017,Immigration,20318,female,El Salvador,4142,Nicaragua,3970,United States of America,3788,Guatemala,2371,Mexico,787,3334,1168,4119,3677,2569
166,340,Honduras,2017,Immigration,18382,male,El Salvador,4799,Nicaragua,3874,United States of America,3078,Guatemala,2282,Mexico,795,2459,882,3247,4624,3937
167,340,Honduras,2017,Immigration,38700,total,El Salvador,8941,Nicaragua,7844,United States of America,6866,Guatemala,4653,Mexico,1582,5793,2050,7366,8301,6506
168,484,Mexico,1990,Emigration,2357870,female,United States of America,2315850,Canada,9060,Bolivia (Plurinational State of),4025,Spain,3999,France,2439,,,,,
169,484,Mexico,1990,Emigration,2036814,male,United States of America,1982164,Canada,9550,Spain,5650,Bolivia (Plurinational State of),4100,France,3866,,,,,
170,484,Mexico,1990,Emigration,4394684,total,United States of America,4298014,Canada,18610,Spain,9649,Bolivia (Plurinational State of),8125,France,6305,,,,,
171,484,Mexico,1990,Immigration,348353,female,El Salvador,150796,United States of America,97160,Guatemala,36574,Spain,13473,Panama,12956,147006,32660,39139,35066,26824
172,484,Mexico,1990,Immigration,347321,male,El Salvador,150310,United States of America,101070,Guatemala,35769,Panama,12685,Spain,11147,147223,30915,38381,34660,28547
173,484,Mexico,1990,Immigration,695674,total,El Salvador,301106,United States of America,198230,Guatemala,72343,Panama,25641,Spain,24620,294229,63575,77520,69726,55371
174,484,Mexico,1995,Emigration,3746602,female,United States of America,3692951,Canada,14566,Spain,4903,Bolivia (Plurinational State of),4341,Guatemala,3466,,,,,
175,484,Mexico,1995,Emigration,3201956,male,United States of America,3134994,Canada,15547,Spain,6756,Guatemala,4770,Bolivia (Plurinational State of),4429,,,,,
176,484,Mexico,1995,Emigration,6948558,total,United States of America,6827945,Canada,30113,Spain,11659,Bolivia (Plurinational State of),8770,Guatemala,8236,,,,,
177,484,Mexico,1995,Immigration,229589,female,United States of America,134898,Guatemala,26336,Spain,12178,Panama,6879,Italy,2730,107834,18576,26385,20794,16224
178,484,Mexico,1995,Immigration,228960,male,United States of America,137574,Guatemala,23340,Spain,10313,Panama,6843,Colombia,2954,108464,16926,24451,21320,17723
179,484,Mexico,1995,Immigration,458549,total,United States of America,272472,Guatemala,49676,Spain,22491,Panama,13722,Colombia,5530,216298,35502,50836,42114,33947
180,484,Mexico,2000,Emigration,5172767,female,United States of America,5104175,Canada,20421,Spain,8137,Guatemala,5374,Bolivia (Plurinational State of),4609,,,,,
181,484,Mexico,2000,Emigration,4389511,male,United States of America,4306354,Canada,21911,Spain,10549,Guatemala,5696,Bolivia (Plurinational State of),4714,,,,,
182,484,Mexico,2000,Emigration,9562278,total,United States of America,9410529,Canada,42332,Spain,18686,Guatemala,11070,Bolivia (Plurinational State of),9323,,,,,
183,484,Mexico,2000,Immigration,270896,female,United States of America,179268,Guatemala,17372,Spain,11468,Canada,3640,Italy,3470,134183,19414,31233,22486,17813
